  PID  TT  STAT      TIME COMMAND
    0  ??  DLs   88:06.30 [kernel]
    1  ??  SLs    1:06.92 /sbin/init --
    2  ??  DL     0:00.02 [g_event]
    3  ??  RL    66:42.07 [g_up]
    4  ??  DL    77:47.02 [g_down]
    5  ??  DL     0:00.00 [sctp_iterator]
    6  ??  DL    18:45.38 [pagedaemon]
    7  ??  DL     0:02.21 [vmdaemon]
    8  ??  RL     0:00.03 [pagezero]
    9  ??  DL     0:40.91 [bufdaemon]
   10  ??  DL     0:00.00 [audit]
   11  ??  RL   46393:35.47 [idle]
   12  ??  WL   263:01.11 [intr]
   13  ??  DL     6:48.78 [yarrow]
   14  ??  DL     4:33.93 [vnlru]
   15  ??  DL    14:35.77 [syncer]
   16  ??  DL     4:36.55 [softdepflush]
   17  ??  DL     3:29.27 [schedcpu]
  461  ??  Is     0:00.01 /sbin/devd
  602  ??  Ss     0:14.19 /usr/sbin/syslogd -l /var/run/log -l /var/named/var/r
  678  ??  Ss   456:34.23 /usr/sbin/named -t /var/named -u bind
  812  ??  Ss     6:17.87 /usr/local/sbin/nmbd -D -s /usr/local/etc/smb.conf
  816  ??  Is     0:10.46 /usr/local/sbin/smbd -D -s /usr/local/etc/smb.conf
  917  ??  I      0:00.03 /usr/local/sbin/smbd -D -s /usr/local/etc/smb.conf
  918  ??  Is     0:17.38 proftpd: (accepting connections) (proftpd)
  939  ??  IWs    0:00.00 /bin/sh /usr/local/bin/mysqld_safe --defaults-extra-f
 1467  ??  S    3665:29.71 [mysqld]
 1482  ??  Ss     2:38.75 /usr/local/sbin/httpd -DNOHTTPACCEPT
 1510  ??  Is     0:10.32 /usr/sbin/sshd -u0 -4
 1519  ??  Ss     0:15.30 /usr/sbin/cron -s
 1549  ??  Is     0:00.00 /usr/sbin/inetd -wW -C 60
37985  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38181  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38256  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38343  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38345  ??  R    2317:45.74 /usr/local/sbin/httpd -DNOHTTPACCEPT
38346  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38349  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38374  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38375  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38376  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38378  ??  R    2325:56.43 /usr/local/sbin/httpd -DNOHTTPACCEPT
38411  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38425  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38440  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38441  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38460  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38462  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38474  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38477  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38478  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38479  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38490  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
38521  ??  R    2312:39.89 /usr/local/sbin/httpd -DNOHTTPACCEPT
38522  ??  IW     0:00.00 /usr/local/sbin/httpd -DNOHTTPACCEPT
